referencia_index,grupo_bibliografico,camada_id,camada,grupo_operacional,metodo_vinculacao,confianca,url_referencia
49,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/958
49,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/958
50,Geodiversidade e patrimônio geológico,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/955
50,Geodiversidade e patrimônio geológico,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/955
50,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/955
50,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/955
51,Geodiversidade e patrimônio geológico,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/953
51,Geodiversidade e patrimônio geológico,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/953
51,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/953
51,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/953
52,Geodiversidade e patrimônio geológico,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/951
52,Geodiversidade e patrimônio geológico,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/951
52,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/951
52,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/951
53,Geodiversidade e patrimônio geológico,geossit_registros_ms,Registros GEOSSIT de Mato Grosso do Sul,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/1496
53,Geodiversidade e patrimônio geológico,geossitios_compilados_niveis_precisao,Geossítios compilados com níveis de precisão,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/1496
53,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/1496
53,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://www.sgb.gov.br/geossit/geossitios/ver/1496
54,Geodiversidade e patrimônio geológico,geodiversidade_candidatos,Lugares candidatos do levantamento do projeto,geodiversidade,regra_curada,alta,https://rigeo.sgb.gov.br/handle/doc/17164
54,Geodiversidade e patrimônio geológico,lugares_interesse_geologico_propostos,Lugares de interesse geológico propostos ou indicados,geodiversidade,regra_curada,alta,https://rigeo.sgb.gov.br/handle/doc/17164
54,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://rigeo.sgb.gov.br/handle/doc/17164
54,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://rigeo.sgb.gov.br/handle/doc/17164
55,Geodiversidade e patrimônio geológico,inventario_geocientifico_fase3,Inventário geocientífico consolidado da Fase 3,geodiversidade,regra_curada,alta,https://doi.org/10.1007/s12371-020-00437-8
55,Geodiversidade e patrimônio geológico,potencial_geocientifico_territorial_250km2,Potencial geocientífico territorial documentado — 250 km²,analise,regra_curada,alta,https://doi.org/10.1007/s12371-020-00437-8
56,"Festividades, turismo e inventário cultural",festividades_inventario_2026,"Festas municipais, festividades e eventos até agosto de 2026",eventos,regra_curada,alta,https://www.fundacaodecultura.ms.gov.br/carnaval-2026-blocos-de-rua-tomam-campo-grande-em-tres-finais-de-semana-de-folia-cultura-e-diversidade
56,"Festividades, turismo e inventário cultural",pontos_interesse_itinerarios,Pontos de interesse para itinerários,eventos,regra_curada,alta,https://www.fundacaodecultura.ms.gov.br/carnaval-2026-blocos-de-rua-tomam-campo-grande-em-tres-finais-de-semana-de-folia-cultura-e-diversidade
57,"Festividades, turismo e inventário cultural",festividades_inventario_2026,"Festas municipais, festividades e eventos até agosto de 2026",eventos,regra_curada,alta,https://www.fundacaodecultura.ms.gov.br/com-apoio-do-grupo-tez-feijoada-de-jorge-celebra-fe-samba-e-ancestralidade-na-vila-carvalho
